config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,interaction,sparse_k,skewness,heterogeneous,true_effect,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02398473684463176,0.17560898937860747,0.03026324954906964,0.82,1.0,1.0239847368446318
inter_0.25,50,20,3,100,0.0,0.25,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02612501815841517,0.17543937077647143,0.030096456244666697,0.82,1.0,1.0261250181584152
inter_0.5,50,20,3,100,0.0,0.5,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.025981235484247467,0.17523299967048908,0.03003157957622971,0.81,1.0,1.0259812354842475
inter_1.0,50,20,3,100,0.0,1.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.024305348784463554,0.17431825801250167,0.029796105096978668,0.81,1.0,1.0243053487844636
hete_0.15,50,20,3,100,0.0,0.0,0,0.3,0.15,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.023756213723987285,0.17399257773045917,0.02970905941479012,0.81,1.0,1.0237562137239873
hete_0.3,50,20,3,100,0.0,0.0,0,0.3,0.3,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02497984702832845,0.1727468961498343,0.029217497371842947,0.81,1.0,1.0249798470283285
hete_0.5,50,20,3,100,0.0,0.0,0,0.3,0.5,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02355637452512349,0.17365759558686475,0.02960205772424318,0.81,1.0,1.0235563745251235
noise_0.5,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,0.026837255585152597,0.17603696952990247,0.030268776353928998,0.81,1.0,1.0268372555851526
noise_1.0,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02784770809655157,0.1743563652041451,0.02962464724097047,0.82,1.0,1.0278477080965516
noise_2.0,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02721403033055103,0.1749155842986309,0.029854858183699297,0.82,1.0,1.027214030330551
rho_0.3,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,0.029796290747521104,0.17068076156913614,0.028244103427509472,0.83,1.0,1.029796290747521
rho_0.5,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.029761979500248392,0.17068175108745676,0.02824648473050734,0.83,1.0,1.0297619795002484
rho_0.7,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.03002139027141748,0.17095135116200164,0.02832308059028524,0.83,1.0,1.0300213902714175
s1_0.5,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.027645935200719896,0.17169579898005638,0.02871514965427752,0.83,1.0,1.02764593520072
s1_1.0,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.03076458339456689,0.16770579766898783,0.027178774980350234,0.84,1.0,1.030764583394567
s1_2.0,50,20,3,100,0.0,0.0,0,0.3,0.0,1.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,0.0322523305308704,0.16881020661676005,0.027456673033320715,0.84,1.0,1.0322523305308704
