config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.004247363489433442,0.12179591037076053,0.01481620368643096,0.89,0.11,0.9957526365105666
inter_0.25,100,30,2,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.009629081303038856,0.12730221586863208,0.01611313495832327,0.91,0.09,0.9903709186969611
inter_0.5,100,30,2,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.01726010157147473,0.15336404094527065,0.02322261794880502,0.92,0.08,0.9827398984285253
inter_1.0,100,30,2,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.03260151967513647,0.22438684167823417,0.049286595633204595,0.92,0.08,0.9673984803248635
hete_0.15,100,30,2,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.005745402312252845,0.12427363725070784,0.015410927267790885,0.91,0.09,0.9942545976877472
hete_0.3,100,30,2,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.012241666783578853,0.13517268474736313,0.018121796296169838,0.92,0.08,0.9877583332164211
hete_0.5,100,30,2,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.02262503170590624,0.15822761857381346,0.024524087219846925,0.91,0.09,0.9773749682940938
noise_0.5,100,30,2,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,-0.006233922981629281,0.06407801481938732,0.004067130187452738,0.9,0.1,0.9937660770183707
noise_1.0,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.011550548645291925,0.12170734476310935,0.0146792625952791,0.89,0.11,0.9884494513547081
noise_2.0,100,30,2,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.0171449765834355,0.2322930056770795,0.05366609026444514,0.9,0.1,0.9828550234165645
rho_0.3,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,-0.004514429925228436,0.11302282458613246,0.012753778799877866,0.93,0.07,0.9954855700747716
rho_0.5,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,-0.006627375663320723,0.1190295495479611,0.014124111557407752,0.91,0.09,0.9933726243366793
rho_0.7,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.010532236236244441,0.12172941964828242,0.014707123607771582,0.89,0.11,0.9894677637637556
s1_0.5,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.0005095861714830008,0.21381965430542105,0.04571858488922361,0.9,0.1,1.000509586171483
s1_1.0,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,-0.013678961793287758,0.12139941914237354,0.014550704972363462,0.89,0.11,0.9863210382067122
s1_2.0,100,30,2,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,-0.0095583907356388,0.06672582729817089,0.0043609731951701845,0.88,0.12,0.9904416092643612
