config_name,n_samples,d_dim,dgp_num,n_runs,nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,rho,s1,a0,a1,b0,b1,bias,rmse,variance,coverage_rate,rejection_rate,mean_estimate
0_基准,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.024558244181095423,0.16557849752629958,0.026813131485808484,0.88,0.12,1.0245582441810954
inter_0.25,50,30,3,100,0.0,0,0.3,0.25,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.025922119532563848,0.16635350234958018,0.027001531462911246,0.88,0.12,1.0259221195325638
inter_0.5,50,30,3,100,0.0,0,0.3,0.5,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.024879437389565107,0.16629177732411593,0.02703396880079207,0.88,0.12,1.024879437389565
inter_1.0,50,30,3,100,0.0,0,0.3,1.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.026499031254564986,0.16424740740185362,0.026275012180800066,0.89,0.11,1.026499031254565
hete_0.15,50,30,3,100,0.0,0,0.3,0.0,0.15,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02127681293525807,0.16657957729960343,0.0272960528046326,0.88,0.12,1.021276812935258
hete_0.3,50,30,3,100,0.0,0,0.3,0.0,0.3,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.021166771631897285,0.16648118120540503,0.02726795147423001,0.88,0.12,1.0211667716318973
hete_0.5,50,30,3,100,0.0,0,0.3,0.0,0.5,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.022954712327215354,0.16653020270953905,0.027205389596454962,0.88,0.12,1.0229547123272154
noise_0.5,50,30,3,100,0.0,0,0.3,0.0,0.0,0.5,0.7,1.0,1.0,0.25,1.0,0.25,0.01807427528361427,0.16620786948692842,0.027298376452355957,0.87,0.13,1.0180742752836143
noise_1.0,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.018484910559924073,0.16657842874458734,0.02740668100460717,0.87,0.13,1.018484910559924
noise_2.0,50,30,3,100,0.0,0,0.3,0.0,0.0,2.0,0.7,1.0,1.0,0.25,1.0,0.25,0.02444931860690791,0.16763881052359547,0.02750500161342386,0.87,0.13,1.024449318606908
rho_0.3,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.3,1.0,1.0,0.25,1.0,0.25,0.025322624087938506,0.1697496849267039,0.028173720242016195,0.86,0.14,1.0253226240879385
rho_0.5,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.5,1.0,1.0,0.25,1.0,0.25,0.020511840465558873,0.1695707978068524,0.02833351986956788,0.87,0.13,1.0205118404655589
rho_0.7,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.01943046496866163,0.16900343696662623,0.02818461873763402,0.87,0.13,1.0194304649686616
s1_0.5,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,0.5,1.0,0.25,1.0,0.25,0.01624467144057018,0.16938665838825315,0.028427950689726696,0.87,0.13,1.0162446714405702
s1_1.0,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,1.0,1.0,0.25,1.0,0.25,0.01659085318238862,0.1692571391007541,0.028372722727252452,0.87,0.13,1.0165908531823886
s1_2.0,50,30,3,100,0.0,0,0.3,0.0,0.0,1.0,0.7,2.0,1.0,0.25,1.0,0.25,0.018510629371370158,0.1672044471360766,0.02761468374235681,0.87,0.13,1.0185106293713702
