nonlinearity,sparse_k,skewness,interaction,heterogeneous,noise_std,true_effect,random_seed,rho,s1,a0,a1,b0,b1,config_name,n_samples,d_dim,dgp_num,n_runs
0.0,0,0.3,0.0,0.0,1.0,1.0,60,0.7,1.0,1.0,0.25,1.0,0.25,0_base,2000,20,2,100
0.0,0,0.3,0.25,0.0,1.0,1.0,61,0.7,1.0,1.0,0.25,1.0,0.25,inter_0.25,2000,20,2,100
0.0,0,0.3,0.5,0.0,1.0,1.0,62,0.7,1.0,1.0,0.25,1.0,0.25,inter_0.5,2000,20,2,100
0.0,0,0.3,1.0,0.0,1.0,1.0,63,0.7,1.0,1.0,0.25,1.0,0.25,inter_1.0,2000,20,2,100
0.0,0,0.3,0.0,0.15,1.0,1.0,64,0.7,1.0,1.0,0.25,1.0,0.25,hete_0.15,2000,20,2,100
0.0,0,0.3,0.0,0.3,1.0,1.0,65,0.7,1.0,1.0,0.25,1.0,0.25,hete_0.3,2000,20,2,100
0.0,0,0.3,0.0,0.5,1.0,1.0,66,0.7,1.0,1.0,0.25,1.0,0.25,hete_0.5,2000,20,2,100
0.0,0,0.3,0.0,0.0,0.5,1.0,67,0.7,1.0,1.0,0.25,1.0,0.25,noise_0.5,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,68,0.7,1.0,1.0,0.25,1.0,0.25,noise_1.0,2000,20,2,100
0.0,0,0.3,0.0,0.0,2.0,1.0,69,0.7,1.0,1.0,0.25,1.0,0.25,noise_2.0,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,70,0.7,0.5,1.0,0.25,1.0,0.25,s1_0.5,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,71,0.7,1.0,1.0,0.25,1.0,0.25,s1_1.0,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,72,0.7,2.0,1.0,0.25,1.0,0.25,s1_2.0,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,73,0.7,1.0,0.0,2.0,1.0,0.25,ind_nl_mD,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,74,0.7,1.0,1.0,0.25,2.0,0.0,ind_nl_mY,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,75,0.7,1.0,0.0,2.0,2.0,0.0,ind_nl_both,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,76,0.7,0.2,0.0,4.0,1.0,0.25,ind_skew_Dpos,2000,20,2,100
0.0,0,0.3,0.0,0.0,1.0,1.0,77,0.7,0.2,0.0,-4.0,1.0,0.25,ind_skew_Dneg,2000,20,2,100
0.0,0,0.3,0.0,0.0,0.5,1.0,78,0.7,1.0,1.0,0.25,4.0,0.0,ind_skew_Y,2000,20,2,100
